1176.00, 0.22, 6687.00, 0.17, 1.00, 0.11
0.00, 0.11, 1175.00, 0.05, 16561.00, 0.16
15988.00, 0.72, 21535.00, 0.83, 3651.00, 0.80
4.00, 0.22, 16.00, 0.22, 13253.00, 0.10
3.00, 0.22, 3198.00, 0.24, 1664.00, 0.09
3218.00, 0.25, 153.00, 0.05, 901.00, 0.10
7.00, 0.20, 28.00, 0.06, 1108.00, 0.11
6.00, 0.20, 243.00, 0.27, 16655.00, 0.07
1093.00, 0.10, 1501.00, 0.22, 11005.00, 0.12
8206.00, 0.10, 13019.00, 0.12, 10.00, 0.34
9.00, 0.34, 6146.00, 0.30, 11.00, 0.08
10.00, 0.08, 9480.00, 0.36, 13907.00, 0.27
7418.00, 0.76, 637.00, 0.77, 10781.00, 0.75
1466.00, 0.78, 13973.00, 0.84, 8250.00, 0.79
1167.00, 0.81, 20293.00, 0.85, 16713.00, 0.87
1061.00, 0.98, 23637.00, 0.94, 13325.00, 0.95
3.00, 0.22, 507.00, 0.29, 8128.00, 0.28
15971.00, 0.78, 3957.00, 0.85, 2144.00, 0.85
10422.00, 0.08, 10425.00, 0.19, 990.00, 0.14
16332.00, 0.80, 14678.00, 0.98, 6569.00, 0.93
6048.00, 0.20, 10579.00, 0.31, 6460.00, 0.08
4685.00, 0.08, 301.00, 0.06, 16375.00, 0.20
301.00, 0.14, 23.00, 0.31, 53.00, 0.05
22.00, 0.31, 109.00, 0.09, 2202.00, 0.34
12865.00, 0.77, 768.00, 0.86, 10755.00, 0.76
26.00, 0.09, 1205.00, 0.05, 16603.00, 0.09
25.00, 0.09, 870.00, 0.08, 3420.00, 0.09
243.00, 0.07, 1548.00, 0.27, 4506.00, 0.30
6.00, 0.06, 1548.00, 0.20, 6211.00, 0.10
21636.00, 0.88, 21797.00, 0.84, 21634.00, 0.88
2291.00, 0.20, 3323.00, 0.06, 2292.00, 0.17
4778.00, 0.09, 6185.00, 0.10, 5992.00, 0.21
1821.00, 0.12, 6274.00, 0.20, 4576.00, 0.28
212.00, 0.11, 13622.00, 0.05, 1202.00, 0.08
8120.00, 0.35, 333.00, 0.12, 35.00, 0.28
34.00, 0.28, 539.00, 0.34, 549.00, 0.60
37.00, 0.16, 17460.00, 0.12, 2255.00, 0.08
36.00, 0.16, 194.00, 0.39, 6350.00, 0.05
16531.00, 0.09, 96.00, 0.25, 1715.00, 0.35
14504.00, 0.93, 2353.00, 0.85, 6498.00, 0.90
17440.00, 0.94, 15235.00, 0.81, 18619.00, 0.88
16493.00, 0.84, 7028.00, 0.81, 14405.00, 0.75
6820.00, 0.84, 16857.00, 0.81, 3039.00, 0.79
11501.00, 0.73, 1161.00, 0.95, 6395.00, 0.88
7911.00, 0.14, 13091.00, 0.28, 13955.00, 0.09
13081.00, 0.31, 6091.00, 0.07, 46.00, 0.26
45.00, 0.26, 49.00, 0.06, 16616.00, 0.13
978.00, 0.17, 16604.00, 0.25, 48.00, 0.32
47.00, 0.32, 4690.00, 0.06, 4679.00, 0.11
46.00, 0.06, 16615.00, 0.37, 50.00, 0.21
49.00, 0.21, 2339.00, 0.22, 3586.00, 0.17
12361.00, 0.83, 21650.00, 0.90, 6154.00, 0.78
53.00, 0.24, 1585.00, 0.35, 57.00, 0.07
22.00, 0.05, 300.00, 0.13, 52.00, 0.24
1715.00, 0.08, 94.00, 0.33, 55.00, 0.28
54.00, 0.28, 267.00, 0.13, 1713.00, 0.06
300.00, 0.09, 57.00, 0.23, 16376.00, 0.06
52.00, 0.07, 56.00, 0.23, 6325.00, 0.33
4630.00, 0.09, 59.00, 0.12, 6081.00, 0.21
58.00, 0.12, 964.00, 0.21, 965.00, 0.21
6728.00, 0.14, 6514.00, 0.11, 13525.00, 0.14
14933.00, 0.70, 18033.00, 0.63, 10831.00, 0.63
1024.00, 0.05, 872.00, 0.21, 6310.00, 0.12
24275.00, 0.90, 11800.00, 0.86, 10159.00, 0.85
23547.00, 0.88, 10987.00, 0.82, 18566.00, 0.91
66.00, 0.27, 1439.00, 0.07, 4535.00, 0.30
65.00, 0.27, 6043.00, 0.16, 16720.00, 0.06
71.00, 0.08, 10744.00, 0.17, 8256.00, 0.38
69.00, 0.36, 2334.00, 0.10, 7980.00, 0.18
68.00, 0.36, 13024.00, 0.28, 1117.00, 0.17
22987.00, 0.53, 71.00, 0.17, 10428.00, 0.12
67.00, 0.08, 70.00, 0.17, 6591.00, 0.34
8007.00, 0.19, 1609.00, 0.24, 1054.00, 0.17
966.00, 0.23, 964.00, 0.21, 6281.00, 0.13
4558.00, 0.17, 4560.00, 0.38, 6578.00, 0.26
76.00, 0.08, 2378.00, 0.07, 6491.00, 0.08
75.00, 0.08, 2379.00, 0.07, 3268.00, 0.06
78.00, 0.36, 2379.00, 0.10, 10432.00, 0.09
77.00, 0.36, 3266.00, 0.34, 578.00, 0.14
2431.00, 0.04, 8132.00, 0.19, 203.00, 0.08
8132.00, 0.16, 84.00, 0.18, 8115.00, 0.26
10374.00, 0.24, 2432.00, 0.06, 928.00, 0.09
171.00, 0.16, 518.00, 0.30, 12968.00, 0.23
518.00, 0.23, 84.00, 0.05, 2432.00, 0.18
80.00, 0.18, 2431.00, 0.17, 83.00, 0.05
2720.00, 0.80, 19875.00, 0.89, 18753.00, 0.82
16460.00, 0.21, 16459.00, 0.19, 973.00, 0.30
2474.00, 0.09, 577.00, 0.25, 8022.00, 0.18
89.00, 0.13, 10227.00, 0.11, 876.00, 0.33
88.00, 0.13, 10229.00, 0.22, 1593.00, 0.22
973.00, 0.20, 166.00, 0.05, 91.00, 0.20
90.00, 0.20, 119.00, 0.06, 120.00, 0.11
15248.00, 0.82, 9274.00, 0.75, 19119.00, 0.78
96.00, 0.06, 94.00, 0.30, 4669.00, 0.18
54.00, 0.33, 93.00, 0.30, 624.00, 0.12
96.00, 0.19, 8408.00, 0.05, 1769.00, 0.30
38.00, 0.25, 95.00, 0.19, 93.00, 0.06
6169.00, 0.17, 17498.00, 0.16, 540.00, 0.09
6262.00, 0.80, 12046.00, 0.85, 3282.00, 0.79
101.00, 0.14, 100.00, 0.19, 2515.00, 0.16
99.00, 0.19, 10240.00, 0.19, 13203.00, 0.14
99.00, 0.14, 4423.00, 0.19, 6436.00, 0.20
20801.00, 1.00, 13759.00, 0.83, 18674.00, 0.87
6678.00, 0.13, 8361.00, 0.09, 6721.00, 0.34
4269.00, 0.19, 7062.00, 0.15, 6700.00, 0.24
5105.00, 0.79, 4974.00, 0.93, 22470.00, 0.88
949.00, 0.07, 7062.00, 0.19, 1730.00, 0.11
6338.00, 0.15, 462.00, 0.59, 6339.00, 0.28
16788.00, 0.77, 20745.00, 0.88, 1242.00, 0.90
23.00, 0.09, 16375.00, 0.31, 1592.00, 0.35
16377.00, 0.33, 4607.00, 0.31, 16372.00, 0.07
13652.00, 0.88, 1318.00, 0.68, 2897.00, 0.77
14282.00, 0.79, 4042.00, 0.72, 6457.00, 0.77
3390.00, 0.32, 4949.00, 0.35, 1790.00, 0.17
115.00, 0.09, 219.00, 0.05, 13095.00, 0.32
114.00, 0.09, 10221.00, 0.09, 1064.00, 0.32
117.00, 0.20, 1778.00, 0.23, 2410.00, 0.35
116.00, 0.20, 6897.00, 0.12, 6242.00, 0.07
23118.00, 0.96, 19029.00, 0.81, 7383.00, 0.80
91.00, 0.06, 4500.00, 0.21, 571.00, 0.09
91.00, 0.11, 6228.00, 0.04, 575.00, 0.10
